代码,产品简称,类型
160120,南方中证500指数后端,股票型
160122,南方金砖四国后端,股票型
160126,南方中国中小盘后端,股票型
270011,广发聚富混合后端,混合型
270012,广发稳健增长混合后端,混合型
270015,广发聚丰股票后端,混合型
270016,广发策略优选混合后端,混合型
270017,广发大盘成长混合后端,混合型
168108,九泰锐诚定增灵活,混合型
000412,国开岁月鎏金信用债A,债券型
000413,国开岁月鎏金信用债C,债券型
000901,国开货币A,货币型
000902,国开货币B,货币型
003762,国开泰富开泰灵活A,混合型
003763,国开泰富开泰灵活C,混合型
004214,方正富邦鑫利宝货币A,货币型
004215,方正富邦鑫利宝货币B,货币型
003787,方正富邦惠利纯债A,债券型
003788,方正富邦惠利纯债C,债券型
070032,嘉实优化红利,混合型
003745,广发多元新型股票型证券投资基金,股票型
003125,中科沃土沃鑫成长精选,股票型
000482,华安月月鑫申购,债券型
003593,国泰景气灵活配置,混合型
070088, 嘉实货币B,货币型
001790,国泰智能汽车股票,股票型
002181,华安大安全主题混合,混合型
164823,工银瑞信深证成份指数,股票型
005136,华安幸福生活,混合型
005156,嘉实领航资产配置FOFA,混合型
005157,嘉实领航资产配置FOFC,混合型
005218,华夏聚惠稳健目标FOFA,混合型
005219,华夏聚惠稳健目标FOFC,混合型
