产品编号,产品名称,交易码,交易名称,渠道,最小金额,最大金额,折扣率
202005,南方成份精选股票,200208,定期定额处理,低柜,0.00,"200,000,000.00",0.8000
202007,南方隆元产业主题股票,100201,产品申购,网银,0.00,"200,000,000.00",0.4000
202007,南方隆元产业主题股票,100208,定期定额开通,网银,0.00,"200,000,000.00",0.4000
202007,南方隆元产业主题股票,100208,定期定额开通,低柜,0.00,"200,000,000.00",0.8000
202007,南方隆元产业主题股票,100209,定期定额修改,网银,0.00,"200,000,000.00",0.4000
202007,南方隆元产业主题股票,100209,定期定额修改,低柜,0.00,"200,000,000.00",0.8000
202007,南方隆元产业主题股票,100232,定期不定额开通,网银,0.00,"200,000,000.00",0.4000
202007,南方隆元产业主题股票,100232,定期不定额开通,低柜,0.00,"200,000,000.00",0.8000
202007,南方隆元产业主题股票,100233,定期不定额修改,网银,0.00,"200,000,000.00",0.4000
202007,南方隆元产业主题股票,100233,定期不定额修改,低柜,0.00,"200,000,000.00",0.8000
202007,南方隆元产业主题股票,200208,定期定额处理,网银,0.00,"200,000,000.00",0.4000
202007,南方隆元产业主题股票,200208,定期定额处理,低柜,0.00,"200,000,000.00",0.8000
202009,南方盛元红利股票,100201,产品申购,网银,0.00,"200,000,000.00",0.4000
202009,南方盛元红利股票,100208,定期定额开通,网银,0.00,"200,000,000.00",0.4000
202009,南方盛元红利股票,100208,定期定额开通,低柜,0.00,"200,000,000.00",0.8000
202009,南方盛元红利股票,100209,定期定额修改,网银,0.00,"200,000,000.00",0.4000
202009,南方盛元红利股票,100209,定期定额修改,低柜,0.00,"200,000,000.00",0.8000
202009,南方盛元红利股票,100232,定期不定额开通,网银,0.00,"200,000,000.00",0.4000
202009,南方盛元红利股票,100232,定期不定额开通,低柜,0.00,"200,000,000.00",0.8000
202009,南方盛元红利股票,100233,定期不定额修改,网银,0.00,"200,000,000.00",0.4000
202009,南方盛元红利股票,100233,定期不定额修改,低柜,0.00,"200,000,000.00",0.8000
202009,南方盛元红利股票,200208,定期定额处理,网银,0.00,"200,000,000.00",0.4000
202009,南方盛元红利股票,200208,定期定额处理,低柜,0.00,"200,000,000.00",0.8000
202011,南方优选价值股票,100201,产品申购,网银,0.00,"200,000,000.00",0.4000
202011,南方优选价值股票,100208,定期定额开通,网银,0.00,"200,000,000.00",0.4000
202011,南方优选价值股票,100208,定期定额开通,低柜,0.00,"200,000,000.00",0.8000
202011,南方优选价值股票,100209,定期定额修改,网银,0.00,"200,000,000.00",0.4000
202011,南方优选价值股票,100209,定期定额修改,低柜,0.00,"200,000,000.00",0.8000
202011,南方优选价值股票,100232,定期不定额开通,网银,0.00,"200,000,000.00",0.4000
202011,南方优选价值股票,100232,定期不定额开通,低柜,0.00,"200,000,000.00",0.8000
202011,南方优选价值股票,100233,定期不定额修改,网银,0.00,"200,000,000.00",0.4000
202011,南方优选价值股票,100233,定期不定额修改,低柜,0.00,"200,000,000.00",0.8000
202011,南方优选价值股票,200208,定期定额处理,网银,0.00,"200,000,000.00",0.4000
202011,南方优选价值股票,200208,定期定额处理,低柜,0.00,"200,000,000.00",0.8000
