symbol,publishdate(min),nav_cur4
000089,20170817,1.1961
000089,20170818,1.1185
000089,20170820,2.2506
000089,20170821,1.123
000089,20170822,1.1117
000089,20170823,1.1159
000089,20170824,1.1305
000089,20170825,1.4017
000089,20170827,2.2909
000089,20170828,1.4417
000089,20170829,1.116
000089,20170830,1.2645
000089,20170831,1.157
000089,20170901,1.1708
000089,20170903,2.3298
000089,20170904,1.1702
000089,20170905,1.1659
000089,20170906,1.1535
000089,20170907,0.9793
000089,20170908,1.1917
000089,20170910,2.3771
000089,20170911,1.6717
000089,20170912,1.1741
000089,20170913,1.2152
000089,20170914,1.1912
000089,20170915,1.1985
000089,20170917,2.3375
000089,20170918,1.2024
000089,20170919,1.1596
000089,20170920,1.5823
000089,20170921,1.187
000089,20170922,1.1688
000089,20170924,2.3281
000089,20170925,1.1567
000089,20170926,1.5882
000089,20170927,1.137
000089,20170929,1.1519
000089,20171008,10.3152
000089,20171009,1.1694
000089,20171010,1.1943
000089,20171011,1.2061
000089,20171012,1.2321
000089,20171013,1.2262
000089,20171015,2.3291
000089,20171016,1.2296
000089,20171017,1.2104
000089,20171018,1.1486
000089,20171019,1.1563
000089,20171020,1.1658
000089,20171022,2.3344
000089,20171023,1.1709
000089,20171024,1.2
000089,20171025,1.2192
000089,20171026,1.2066
000089,20171027,1.1602
000089,20171029,2.3234
000089,20171030,1.1459
000089,20171031,1.0517
000089,20171101,1.132
000089,20171102,1.1278
000089,20171103,1.1253
000089,20171105,2.2485
000089,20171106,1.1228
000089,20171107,1.149
000089,20171108,1.1403
000089,20171109,1.1921
000089,20171110,1.1367
000089,20171112,2.2819
000089,20171113,1.1357
000089,20171114,1.1335
000089,20171115,1.114
000089,20171116,1.1273
000089,20171117,1.1659
000089,20171119,2.25
000089,20171120,1.1033
000090,20170702,2.4311
000090,20170703,1.2883
000090,20170704,1.2926
000090,20170705,1.2944
000090,20170706,1.2958
000090,20170707,1.3205
000090,20170709,2.6477
000090,20170710,1.3436
000090,20170711,1.2845
000090,20170712,1.5052
000090,20170713,1.2683
000090,20170714,1.2654
000090,20170716,2.512
000090,20170717,1.2826
000090,20170718,1.249
000090,20170719,1.2259
000090,20170720,1.2443
000090,20170721,1.2479
000090,20170723,2.486
000090,20170724,1.8343
000090,20170725,1.2375
000090,20170726,1.2397
000090,20170727,1.229
000090,20170728,1.2237
000090,20170730,2.4383
000090,20170731,1.1751
000090,20170801,1.1765
000090,20170802,1.1747
000090,20170803,1.1889
000090,20170804,1.2049
000090,20170806,2.4135
000090,20170807,1.5146
000090,20170808,1.234
000090,20170809,1.1924
000090,20170810,1.2193
000090,20170811,1.276
000090,20170813,2.3819
000090,20170814,1.1885
000090,20170815,1.4257
000090,20170816,1.1613
000090,20170817,1.2611
000090,20170818,1.1866
000090,20170820,2.3821
000090,20170821,1.189
000090,20170822,1.179
000090,20170823,1.1819
000090,20170824,1.1958
000090,20170825,1.4686
000090,20170827,2.4224
000090,20170828,1.5083
000090,20170829,1.1873
000090,20170830,1.3295
000090,20170831,1.2217
000090,20170901,1.2391
000090,20170903,2.4613
000090,20170904,1.2356
000090,20170905,1.2313
000090,20170906,1.2183
000090,20170907,1.0441
000090,20170908,1.2571
000090,20170910,2.5086
000090,20170911,1.7371
000090,20170912,1.2423
000090,20170913,1.2802
000090,20170914,1.2559
000090,20170915,1.2643
000090,20170917,2.469
000090,20170918,1.266
000090,20170919,1.2209
000090,20170920,1.6462
000090,20170921,1.2509
000090,20170922,1.2318
000090,20170924,2.4596
000090,20170925,1.2199
000090,20170926,1.6453
000090,20170927,1.2002
000090,20170929,1.2139
000090,20171008,10.907
000090,20171009,1.2344
000090,20171010,1.2608
000090,20171011,1.2713
000090,20171012,1.2972
000090,20171013,1.2919
000090,20171015,2.4606
000090,20171016,1.2953
000090,20171017,1.2768
000090,20171018,1.2139
000090,20171019,1.2238
000090,20171020,1.2321
000090,20171022,2.4659
000090,20171023,1.2369
000090,20171024,1.2683
000090,20171025,1.2847
000090,20171026,1.2778
000090,20171027,1.2273
000090,20171029,2.4549
000090,20171030,1.2156
000090,20171031,1.121
000090,20171101,1.1972
000090,20171102,1.193
000090,20171103,1.1906
000090,20171105,2.3801
000090,20171106,1.1883
000090,20171107,1.2149
000090,20171108,1.206
000090,20171109,1.2575
000090,20171110,1.2045
000090,20171112,2.4135
000090,20171113,1.2018
000090,20171114,1.2007
000090,20171115,1.1797
000090,20171116,1.1926
000090,20171117,1.2318
000090,20171119,2.3815
000090,20171120,1.1692
000134,20170702,2.3797
000134,20170703,1.1889
000134,20170704,1.1884
000134,20170705,1.1735
000134,20170706,1.1585
000134,20170707,1.1589
000134,20170709,2.318
000134,20170710,1.1227
000134,20170711,1.0912
000134,20170712,1.1098
000134,20170713,1.113
000134,20170714,1.12
000134,20170716,2.2553
000134,20170717,1.0948
000134,20170718,1.7765
000134,20170719,1.5002
000134,20170720,0.8802
000134,20170721,1.0118
000134,20170723,2.0266
000134,20170724,0.945
000134,20170725,1.0859
000134,20170726,1.1113
000134,20170727,1.283
000134,20170728,1.0806
000134,20170730,2.1644
000134,20170731,1.2821
000134,20170801,1.0455
000134,20170802,1.4784
000134,20170803,1.04
000134,20170804,1.0669
000134,20170806,2.135
000134,20170807,1.458
000134,20170808,1.0292
000134,20170809,1.0422
000134,20170810,1.042
000134,20170811,1.051
000134,20170813,2.1105
000134,20170814,1.3354
000134,20170815,1.0516
000134,20170816,1.1026
000134,20170817,1.0656
000134,20170818,1.0239
000134,20170820,2.085
000134,20170821,1.386
000134,20170822,1.0564
000134,20170823,1.0568
000134,20170824,1.0568
000134,20170825,1.0319
000134,20170827,2.067
000134,20170828,1.0285
000134,20170829,1.0403
000134,20170830,1.0403
000134,20170831,1.0411
000134,20170901,1.041
000134,20170903,2.0822
000134,20170904,1.1426
000134,20170905,0.8866
000134,20170906,0.962
000134,20170907,0.907
000134,20170908,1.4696
000134,20170910,1.9264
000134,20170911,0.9876
000134,20170912,0.9952
000134,20170913,0.9964
000134,20170914,0.9816
000134,20170915,1.0434
000134,20170917,2.0035
000134,20170918,1.0481
000134,20170919,1.1097
000134,20170920,1.1097
000134,20170921,1.1321
000134,20170922,1.1336
000134,20170924,2.2674
000134,20170925,1.3202
000134,20170926,1.5128
000134,20170927,1.2535
000134,20170929,1.1706
000134,20171008,10.5371
000134,20171009,1.1657
000134,20171010,1.125
