客户ID,日期,基金代码,基金名称,配置比例
71,2017-11-24,002385,博时裕富沪深300C,0.1046
71,2017-11-24,050015,博时大中华人民币,0.06
71,2017-11-24,050025,博时标普500ETF联接,0.1713
72,2017-11-24,050003,博时现金收益A,0.2964
72,2017-11-24,001661,博时信用债纯债C,0.5717
72,2017-11-24,050111,博时信用债券C,0.0819
72,2017-11-24,050025,博时标普500ETF联接,0.05
73,2017-11-24,050003,博时现金收益A,0.0885
73,2017-11-24,001661,博时信用债纯债C,0.1643
73,2017-11-24,050111,博时信用债券C,0.2351
73,2017-11-24,002385,博时裕富沪深300C,0.1148
73,2017-11-24,050015,博时大中华人民币,0.1275
73,2017-11-24,050025,博时标普500ETF联接,0.1199
73,2017-11-24,160505,博时主题行业,0.15
74,2017-11-24,050003,博时现金收益A,0.0665
74,2017-11-24,001661,博时信用债纯债C,0.1642
74,2017-11-24,050111,博时信用债券C,0.1861
74,2017-11-24,002385,博时裕富沪深300C,0.132
74,2017-11-24,050015,博时大中华人民币,0.168
74,2017-11-24,050025,博时标普500ETF联接,0.0832
74,2017-11-24,160505,博时主题行业,0.2
75,2017-11-24,050003,博时现金收益A,0.1391
75,2017-11-24,001661,博时信用债纯债C,0.4163
75,2017-11-24,050111,博时信用债券C,0.1167
75,2017-11-24,002385,博时裕富沪深300C,0.1085
75,2017-11-24,050015,博时大中华人民币,0.06
75,2017-11-24,050025,博时标普500ETF联接,0.1594
76,2017-11-24,050003,博时现金收益A,1
77,2017-11-24,050003,博时现金收益A,0.2993
77,2017-11-24,001661,博时信用债纯债C,0.5687
77,2017-11-24,050111,博时信用债券C,0.082
77,2017-11-24,050025,博时标普500ETF联接,0.05
78,2017-11-24,050003,博时现金收益A,0.0665
78,2017-11-24,001661,博时信用债纯债C,0.1642
78,2017-11-24,050111,博时信用债券C,0.1861
78,2017-11-24,002385,博时裕富沪深300C,0.132
78,2017-11-24,050015,博时大中华人民币,0.168
78,2017-11-24,050025,博时标普500ETF联接,0.0832
78,2017-11-24,160505,博时主题行业,0.2
79,2017-11-24,050003,博时现金收益A,0.0885
79,2017-11-24,001661,博时信用债纯债C,0.1643
79,2017-11-24,050111,博时信用债券C,0.2351
79,2017-11-24,002385,博时裕富沪深300C,0.1148
79,2017-11-24,050015,博时大中华人民币,0.1275
79,2017-11-24,050025,博时标普500ETF联接,0.1199
79,2017-11-24,160505,博时主题行业,0.15
80,2017-11-24,050003,博时现金收益A,0.2993
80,2017-11-24,001661,博时信用债纯债C,0.5687
80,2017-11-24,050111,博时信用债券C,0.082
80,2017-11-24,050025,博时标普500ETF联接,0.05
81,2017-11-24,050003,博时现金收益A,0.2931
81,2017-11-24,001661,博时信用债纯债C,0.5747
81,2017-11-24,050111,博时信用债券C,0.0822
81,2017-11-24,050025,博时标普500ETF联接,0.05
82,2017-11-24,050003,博时现金收益A,0.2931
82,2017-11-24,001661,博时信用债纯债C,0.5747
82,2017-11-24,050111,博时信用债券C,0.0822
82,2017-11-24,050025,博时标普500ETF联接,0.05
83,2017-11-24,050003,博时现金收益A,0.1039
83,2017-11-24,001661,博时信用债纯债C,0.1986
83,2017-11-24,050111,博时信用债券C,0.1945
83,2017-11-24,002385,博时裕富沪深300C,0.1122
83,2017-11-24,050015,博时大中华人民币,0.1275
83,2017-11-24,050025,博时标普500ETF联接,0.1209
83,2017-11-24,160505,博时主题行业,0.1425
84,2017-11-24,050003,博时现金收益A,0.1039
84,2017-11-24,001661,博时信用债纯债C,0.1986
84,2017-11-24,050111,博时信用债券C,0.1945
84,2017-11-24,002385,博时裕富沪深300C,0.1122
84,2017-11-24,050015,博时大中华人民币,0.1275
84,2017-11-24,050025,博时标普500ETF联接,0.1209
84,2017-11-24,160505,博时主题行业,0.1425
85,2017-11-24,050003,博时现金收益A,0.1391
85,2017-11-24,001661,博时信用债纯债C,0.392
85,2017-11-24,050111,博时信用债券C,0.1251
85,2017-11-24,002385,博时裕富沪深300C,0.1006
85,2017-11-24,050015,博时大中华人民币,0.06
85,2017-11-24,050025,博时标普500ETF联接,0.1832
86,2017-11-24,050003,博时现金收益A,0.1039
86,2017-11-24,001661,博时信用债纯债C,0.1986
86,2017-11-24,050111,博时信用债券C,0.1945
86,2017-11-24,002385,博时裕富沪深300C,0.1122
86,2017-11-24,050015,博时大中华人民币,0.1275
86,2017-11-24,050025,博时标普500ETF联接,0.1209
86,2017-11-24,160505,博时主题行业,0.1425
87,2017-11-24,050003,博时现金收益A,0.1391
87,2017-11-24,001661,博时信用债纯债C,0.392
87,2017-11-24,050111,博时信用债券C,0.1251
87,2017-11-24,002385,博时裕富沪深300C,0.1006
87,2017-11-24,050015,博时大中华人民币,0.06
87,2017-11-24,050025,博时标普500ETF联接,0.1832
88,2017-11-24,050003,博时现金收益A,0.0962
88,2017-11-24,001661,博时信用债纯债C,0.1814
88,2017-11-24,050111,博时信用债券C,0.2148
88,2017-11-24,002385,博时裕富沪深300C,0.1135
88,2017-11-24,050015,博时大中华人民币,0.1275
88,2017-11-24,050025,博时标普500ETF联接,0.1204
88,2017-11-24,160505,博时主题行业,0.1463
89,2017-11-24,050003,博时现金收益A,0.0962
89,2017-11-24,001661,博时信用债纯债C,0.1814
89,2017-11-24,050111,博时信用债券C,0.2148
89,2017-11-24,002385,博时裕富沪深300C,0.1135
89,2017-11-24,050015,博时大中华人民币,0.1275
89,2017-11-24,050025,博时标普500ETF联接,0.1204
89,2017-11-24,160505,博时主题行业,0.1463
90,2017-11-24,050003,博时现金收益A,0.0962
90,2017-11-24,001661,博时信用债纯债C,0.1814
90,2017-11-24,050111,博时信用债券C,0.2148
90,2017-11-24,002385,博时裕富沪深300C,0.1135
90,2017-11-24,050015,博时大中华人民币,0.1275
90,2017-11-24,050025,博时标普500ETF联接,0.1204
90,2017-11-24,160505,博时主题行业,0.1463
91,2017-11-24,050003,博时现金收益A,0.1411
91,2017-11-24,001661,博时信用债纯债C,0.4088
91,2017-11-24,050111,博时信用债券C,0.1143
91,2017-11-24,002385,博时裕富沪深300C,0.1046
91,2017-11-24,050015,博时大中华人民币,0.06
91,2017-11-24,050025,博时标普500ETF联接,0.1713
92,2017-11-24,050003,博时现金收益A,0.1411
92,2017-11-24,001661,博时信用债纯债C,0.4088
92,2017-11-24,050111,博时信用债券C,0.1143
92,2017-11-24,002385,博时裕富沪深300C,0.1046
92,2017-11-24,050015,博时大中华人民币,0.06
92,2017-11-24,050025,博时标普500ETF联接,0.1713
93,2017-11-24,050003,博时现金收益A,0.0962
93,2017-11-24,001661,博时信用债纯债C,0.177
93,2017-11-24,050111,博时信用债券C,0.2147
93,2017-11-24,002385,博时裕富沪深300C,0.1147
93,2017-11-24,050015,博时大中华人民币,0.1275
93,2017-11-24,050025,博时标普500ETF联接,0.1199
93,2017-11-24,160505,博时主题行业,0.15
94,2017-11-24,050003,博时现金收益A,0.0689
94,2017-11-24,001661,博时信用债纯债C,0.1682
94,2017-11-24,050111,博时信用债券C,0.1797
94,2017-11-24,002385,博时裕富沪深300C,0.132
94,2017-11-24,050015,博时大中华人民币,0.168
94,2017-11-24,050025,博时标普500ETF联接,0.0832
94,2017-11-24,160505,博时主题行业,0.2
95,2017-11-24,050003,博时现金收益A,0.0962
95,2017-11-24,001661,博时信用债纯债C,0.177
95,2017-11-24,050111,博时信用债券C,0.2147
95,2017-11-24,002385,博时裕富沪深300C,0.1147
95,2017-11-24,050015,博时大中华人民币,0.1275
95,2017-11-24,050025,博时标普500ETF联接,0.1199
95,2017-11-24,160505,博时主题行业,0.15
