用户序号,日期,基金代码,基金名称,配置比例
33,2017-07-01,000929,博时黄金ETF D,0.146 
33,2017-10-26,050002,博时裕富沪深300A,0.618 
33,2017-10-26,050011,博时信用债券A,0.236 
33,2017-10-26,000929,博时黄金ETF D,0.146 
33,2017-11-27,050002,博时裕富沪深300A,0.618 
33,2017-11-27,050011,博时信用债券A,0.236 
33,2017-11-27,000929,博时黄金ETF D,0.146 
34,2017-07-01,050002,博时裕富沪深300A,0.618 
34,2017-07-01,050011,博时信用债券A,0.236 
34,2017-07-01,000929,博时黄金ETF D,0.146 
34,2017-10-26,050002,博时裕富沪深300A,0.618 
34,2017-10-26,050011,博时信用债券A,0.236 
34,2017-10-26,000929,博时黄金ETF D,0.146 
34,2017-11-27,050002,博时裕富沪深300A,0.618 
34,2017-11-27,050011,博时信用债券A,0.236 
34,2017-11-27,000929,博时黄金ETF D,0.146 
35,2017-07-01,050002,博时裕富沪深300A,0.146 
35,2017-07-01,050011,博时信用债券A,0.618 
35,2017-07-01,000929,博时黄金ETF D,0.236 
35,2017-11-23,050002,博时裕富沪深300A,0.146 
35,2017-11-23,050011,博时信用债券A,0.618 
35,2017-11-23,000929,博时黄金ETF D,0.236 
36,2017-07-01,050002,博时裕富沪深300A,0.236 
36,2017-07-01,050011,博时信用债券A,0.618 
36,2017-07-01,000929,博时黄金ETF D,0.146 
36,2017-11-08,050002,博时裕富沪深300A,0.236 
36,2017-11-08,050011,博时信用债券A,0.618 
36,2017-11-08,000929,博时黄金ETF D,0.146 
37,2017-07-01,050002,博时裕富沪深300A,0.146 
37,2017-07-01,050011,博时信用债券A,0.618 
37,2017-07-01,000929,博时黄金ETF D,0.236 
37,2017-11-23,050002,博时裕富沪深300A,0.146 
37,2017-11-23,050011,博时信用债券A,0.618 
37,2017-11-23,000929,博时黄金ETF D,0.236 
37,2017-11-27,050002,博时裕富沪深300A,0.146 
37,2017-11-27,050011,博时信用债券A,0.618 
37,2017-11-27,000929,博时黄金ETF D,0.236 
38,2017-07-01,050002,博时裕富沪深300A,0.618 
38,2017-07-01,050011,博时信用债券A,0.236 
38,2017-07-01,000929,博时黄金ETF D,0.146 
38,2017-10-26,050002,博时裕富沪深300A,0.618 
38,2017-10-26,050011,博时信用债券A,0.236 
38,2017-10-26,000929,博时黄金ETF D,0.146 
38,2017-11-27,050002,博时裕富沪深300A,0.618 
38,2017-11-27,050011,博时信用债券A,0.236 
38,2017-11-27,000929,博时黄金ETF D,0.146 
39,2017-07-01,050002,博时裕富沪深300A,0.618 
39,2017-07-01,050011,博时信用债券A,0.236 
