用户,日期,基金代码,基金名称,配置比例
37,2017-08-18,160127,南方新兴消费增长分级股票,0.0799
37,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.1595
37,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.0548
37,2017-07-01,162607,景顺长城资源垄断混合LOF,0.012
37,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0359
37,2017-08-18,000307,易方达黄金ETF联接A,0.0452
37,2017-08-18,110031,易方达恒生国企联接QDII,0.1318
38,2017-07-01,050025,博时标普500ETF联接QDII,0.3813
38,2017-08-18,050025,博时标普500ETF联接QDII,0.3446
38,2017-07-01,160127,南方新兴消费增长分级股票,0.1602
38,2017-08-18,160127,南方新兴消费增长分级股票,0.2031
38,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.2851
38,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.1437
38,2017-07-01,162607,景顺长城资源垄断混合LOF,0.0297
38,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0861
38,2017-08-18,000307,易方达黄金ETF联接A,0.1002
38,2017-08-18,110031,易方达恒生国企联接QDII,0.2661
39,2017-07-01,050025,博时标普500ETF联接QDII,0.3813
39,2017-08-18,050025,博时标普500ETF联接QDII,0.3446
39,2017-07-01,160127,南方新兴消费增长分级股票,0.1603
39,2017-08-18,160127,南方新兴消费增长分级股票,0.2029
39,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.2852
39,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.1436
39,2017-07-01,162607,景顺长城资源垄断混合LOF,0.0296
39,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0859
39,2017-08-18,000307,易方达黄金ETF联接A,0.1004
39,2017-08-18,110031,易方达恒生国企联接QDII,0.2663
40,2017-07-01,050025,博时标普500ETF联接QDII,0.1628
40,2017-08-25,050025,博时标普500ETF联接QDII,0.1362
40,2017-07-01,050027,博时信用债纯债债券A,0.5637
40,2017-08-25,050027,博时信用债纯债债券A,0.5515
40,2017-07-01,160127,南方新兴消费增长分级股票,0.08
40,2017-08-25,160127,南方新兴消费增长分级股票,0.0857
40,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.1704
40,2017-07-01,162607,景顺长城资源垄断混合LOF,0.023
40,2017-08-25,162607,景顺长城资源垄断混合LOF,0.0559
40,2017-08-25,070009,嘉实超短债债券,0.0212
40,2017-08-25,110031,易方达恒生国企联接QDII,0.1494
41,2017-07-01,050025,博时标普500ETF联接QDII,0.1628
41,2017-08-25,050025,博时标普500ETF联接QDII,0.1362
41,2017-07-01,050027,博时信用债纯债债券A,0.5637
41,2017-08-25,050027,博时信用债纯债债券A,0.5515
41,2017-07-01,160127,南方新兴消费增长分级股票,0.08
41,2017-08-25,160127,南方新兴消费增长分级股票,0.0857
41,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.1704
41,2017-07-01,162607,景顺长城资源垄断混合LOF,0.023
41,2017-08-25,162607,景顺长城资源垄断混合LOF,0.0559
41,2017-08-25,070009,嘉实超短债债券,0.0212
41,2017-08-25,110031,易方达恒生国企联接QDII,0.1494
42,2017-07-01,050025,博时标普500ETF联接QDII,0.1523
42,2017-08-18,050025,博时标普500ETF联接QDII,0.1669
42,2017-07-01,050027,博时信用债纯债债券A,0.5525
42,2017-08-18,050027,博时信用债纯债债券A,0.5619
42,2017-07-01,160127,南方新兴消费增长分级股票,0.0691
42,2017-08-18,160127,南方新兴消费增长分级股票,0.0875
42,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.1595
42,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.0547
