客户ID,日期,基金代码,基金名称,配置比例
64,2017-07-01,160121,南方金砖四国,0.054
64,2017-07-01,160416,华安标普全球石油,0.198
65,2017-07-01,070008,嘉实货币,0.2814
65,2017-07-01,519153,新华纯债添利C,0.4462
65,2017-07-01,050111,博时信用债券C,0.0938
65,2017-07-01,050002,博时沪深300指数,0.1236
65,2017-07-01,050025,博时标普500ETF联接,0.055
66,2017-07-01,070008,嘉实货币,1
67,2017-07-01,070008,嘉实货币,0.1391
67,2017-07-01,519153,新华纯债添利C,0.1596
67,2017-07-01,050111,博时信用债券C,0.1672
67,2017-07-01,050002,博时沪深300指数,0.267
67,2017-07-01,050025,博时标普500ETF联接,0.093
67,2017-07-01,160121,南方金砖四国,0.1741
68,2017-07-01,070008,嘉实货币,0.1041
68,2017-07-01,519153,新华纯债添利C,0.0331
68,2017-07-01,050111,博时信用债券C,0.1766
68,2017-07-01,050002,博时沪深300指数,0.25
68,2017-07-01,040018,华安香港精选,0.1106
68,2017-07-01,050025,博时标普500ETF联接,0.0736
68,2017-07-01,160121,南方金砖四国,0.054
68,2017-07-01,160416,华安标普全球石油,0.198
69,2017-07-01,070008,嘉实货币,0.0971
69,2017-07-01,519153,新华纯债添利C,0.0847
69,2017-07-01,050111,博时信用债券C,0.1882
69,2017-07-01,050002,博时沪深300指数,0.2259
69,2017-07-01,040018,华安香港精选,0.144
69,2017-07-01,050025,博时标普500ETF联接,0.0649
69,2017-07-01,160121,南方金砖四国,0.0833
69,2017-07-01,160416,华安标普全球石油,0.1119
70,2017-07-01,070008,嘉实货币,0.1041
70,2017-07-01,519153,新华纯债添利C,0.0331
70,2017-07-01,050111,博时信用债券C,0.1766
70,2017-07-01,050002,博时沪深300指数,0.25
70,2017-07-01,040018,华安香港精选,0.1106
70,2017-07-01,050025,博时标普500ETF联接,0.0736
70,2017-07-01,160121,南方金砖四国,0.054
70,2017-07-01,160416,华安标普全球石油,0.198
70,2017-11-24,070008,嘉实货币,0.1041
70,2017-11-24,519153,新华纯债添利C,0.0652
70,2017-11-24,050111,博时信用债券C,0.1766
70,2017-11-24,050002,博时沪深300指数,0.21678
70,2017-11-24,040018,华安香港精选,0.13648
70,2017-11-24,050025,博时标普500ETF联接,0.06888
70,2017-11-24,160121,南方金砖四国,0.05856
70,2017-11-24,160416,华安标普全球石油,0.1734
71,2017-07-01,070008,嘉实货币,0.1391
71,2017-07-01,519153,新华纯债添利C,0.1581
71,2017-07-01,050111,博时信用债券C,0.167
71,2017-07-01,050002,博时沪深300指数,0.2754
71,2017-07-01,050025,博时标普500ETF联接,0.093
71,2017-07-01,160121,南方金砖四国,0.1674
72,2017-07-01,070008,嘉实货币,0.2847
72,2017-07-01,519153,新华纯债添利C,0.4432
72,2017-07-01,050111,博时信用债券C,0.0935
72,2017-07-01,050002,博时沪深300指数,0.1236
72,2017-07-01,050025,博时标普500ETF联接,0.055
73,2017-07-01,070008,嘉实货币,0.0971
73,2017-07-01,519153,新华纯债添利C,0.0847
73,2017-07-01,050111,博时信用债券C,0.1882
73,2017-07-01,050002,博时沪深300指数,0.2259
73,2017-07-01,040018,华安香港精选,0.144
73,2017-07-01,050025,博时标普500ETF联接,0.0649
73,2017-07-01,160121,南方金砖四国,0.0833
73,2017-07-01,160416,华安标普全球石油,0.1119
73,2017-11-24,070008,嘉实货币,0.0971
73,2017-11-24,519153,新华纯债添利C,0.321633333
73,2017-11-24,050111,博时信用债券C,0.062733333
73,2017-11-24,050002,博时沪深300指数,0.128966667
73,2017-11-24,040018,华安香港精选,0.132466667
73,2017-11-24,050025,博时标普500ETF联接,0.058966667
73,2017-11-24,160121,南方金砖四国,0.110833333
73,2017-11-24,160416,华安标普全球石油,0.0873
74,2017-07-01,070008,嘉实货币,0.0881
