data_dt,entrydate(min),entrytime,icode,indexcap_id,mcap,tcap,tdate
20090326,20090326 00:00,21:00:08,000300,18533,450658187.3,1302622276,20090326
20150804,20150804 00:00,21:00:12,399004,31454,450664095.1,537197793.6,20150804
20080710,20080710 00:00,21:00:45,000002,17120,450691504.4,1512537161,20080710
20070810,20070810 00:00,21:00:21,000002,15252,450764333.3,1623479019,20070810
20070807,20070807 00:00,21:00:11,000002,15228,450771848.6,1588373894,20070807
20170511,20170511 00:00,21:00:41,399004,35030,450878158.5,525412285.6,20170511
20070813,20070813 00:00,21:00:12,000002,15260,451126034.2,1648122513,20070813
20090223,20090223 00:00,21:00:05,000001,18343,451200309.6,1314665169,20090223
20090623,20090623 00:00,21:00:07,000010,19019,451474393.7,1391664181,20090623
20161206,20161206 00:00,21:00:43,399004,34162,451487498.1,542295011.1,20161206
20090727,20090727 00:00,21:00:11,000016,19212,451668093.2,1370274641,20090727
20150417,20150417 00:00,21:00:33,399004,30846,451712546.1,533723077.7,20150417
20090728,20090728 00:00,21:00:11,000016,19220,451736870.6,1366600039,20090728
20161205,20161205 00:00,21:00:21,399004,34154,451774239.6,543121805.9,20161205
20070803,20070803 00:00,21:00:07,000001,15210,451776417.8,1568963834,20070803
20170302,20170302 00:00,21:01:04,399004,34638,451792861.3,538689763.5,20170302
20151224,20151224 00:00,21:00:33,399004,32242,451795247.5,548685858.1,20151224
20161208,20161208 00:00,21:01:03,399004,34178,452032443.3,542740987.4,20161208
20090320,20090320 00:00,21:00:07,000002,18497,452070609,1296234160,20090320
20170303,20170303 00:00,21:00:40,399004,34646,452092796.7,538790291,20170303
20140731,20140731 00:00,21:01:57,399107,29412,452278174.5,573985140.8,20140731
20161117,20161117 00:00,21:00:57,399004,34058,452289785.5,546097810.3,20161117
20150507,20150507 00:00,21:00:49,399004,30954,452317384.6,530240420,20150507
20161209,20161209 00:00,21:03:00,399004,34186,452376552.9,542980544,20161209
20170228,20170228 00:00,21:00:50,399004,34614,452377422.6,539383610.2,20170228
20070815,20070815 00:00,21:00:26,000300,15281,452404882.7,1615980607,20070815
20170512,20170512 00:00,21:00:48,399004,35038,452462562.6,527497514.9,20170512
20161115,20161115 00:00,21:00:57,399004,34042,452468305.7,546877274.7,20161115
