data_dt,entrydate(min),entrytime,icode,indexcap_id,mcap,tcap,tdate
20140708,20140708 00:00,21:01:24,000002,29277,1355518025,1506013690,2014-07-08
20120223,20120223 00:00,21:00:15,000001,24485,1355660392,1651638867,2012-02-23
20130604,20130604 00:00,21:01:32,000002,27081,1355714103,1595972785,2013-06-04
20140618,20140618 00:00,21:00:11,000001,29163,1355779419,1500102608,2014-06-18
20110105,20110105 00:00,21:00:13,000300,22175,1355907183,1731758136,2011-01-05
20150629,20150629 00:00,21:01:07,000016,31248,1356149902,1411575901,2015-06-29
20140617,20140617 00:00,21:00:25,000002,29157,1356198653,1501750305,2014-06-17
20131029,20131029 00:00,21:00:16,000002,27877,1356233328,1503324441,2013-10-29
20170905,20170905 00:00,21:00:21,000016,35688,1356272424,1428381803,2017-09-05
20131025,20131025 00:00,21:00:09,000002,27861,1356279497,1506108634,2013-10-25
20110530,20110530 00:00,21:00:25,000300,22967,1356315632,1660039279,2011-05-30
20130125,20130125 00:00,21:01:20,000001,26383,1356349951,1609030834,2013-01-25
20141027,20141027 00:00,21:02:01,000300,29889,1356568729,1494956314,2014-10-27
20171023,20171023 00:00,21:00:27,000016,35940,1356644787,1424545956,2017-10-23
20130523,20130523 00:00,21:00:08,000002,27017,1356773311,1597705695,2013-05-23
20120301,20120301 00:00,21:00:22,000002,24527,1356838036,1653920995,2012-03-01
20131225,20131225 00:00,21:00:19,000001,28203,1356918109,1505542072,2013-12-25
20140422,20140422 00:00,21:01:34,000001,28847,1357002836,1509009883,2014-04-22
20120319,20120319 00:00,21:00:10,000001,24621,1357068645,1659489794,2012-03-19
20150507,20150507 00:00,21:00:50,000016,30956,1357322066,1395276631,2015-05-07
20130204,20130204 00:00,21:05:15,000300,26437,1357431627,1625475279,2013-02-04
20120420,20120420 00:00,21:00:05,000001,24801,1357464994,1650666982,2012-04-20
20110726,20110726 00:00,21:01:06,000300,23303,1357499380,1677862787,2011-07-26
20140721,20140721 00:00,21:00:08,000001,29347,1357572494,1505206648,2014-07-21
20140702,20140702 00:00,21:00:57,000001,29243,1357737767,1506677989,2014-07-02
20131231,20131231 00:00,21:00:42,000002,28237,1357762659,1505946190,2013-12-31
20130116,20130116 00:00,21:03:23,000002,26329,1357825487,1613337811,2013-01-16
20140717,20140717 00:00,21:00:14,000001,29331,1357854977,1505883459,2014-07-17
20140613,20140613 00:00,21:01:59,000002,29141,1357895811,1504426403,2014-06-13
20110921,20110921 00:00,21:00:13,000002,23631,1357912161,1671297829,2011-09-21
20110909,20110909 00:00,21:00:07,000001,23569,1357922971,1667643512,2011-09-09
20110729,20110729 00:00,21:00:33,000300,23327,1357951971,1680121733,2011-07-29
20140714,20140714 00:00,21:01:04,000002,29309,1357961775,1507908351,2014-07-14
20160128,20160128 00:00,21:00:22,000010,32439,1358108206,1455897711,2016-01-28
20131028,20131028 00:00,21:00:50,000002,27869,1358207164,1506757249,2013-10-28
20110908,20110908 00:00,21:00:07,000001,23561,1358380364,1668086113,2011-09-08
20110801,20110801 00:00,21:00:48,000300,23335,1358384062,1680119455,2011-08-01
20120229,20120229 00:00,21:00:25,000002,24519,1358403040,1656303110,2012-02-29
20120426,20120426 00:00,21:00:05,000001,24833,1358434975,1650846498,2012-04-26
20140212,20140212 00:00,21:02:01,000002,28461,1358637861,1519710943,2014-02-12
20140704,20140704 00:00,21:00:10,000001,29259,1358677421,1508659071,2014-07-04
20140716,20140716 00:00,21:01:06,000002,29325,1358813284,1507827942,2014-07-16
20110907,20110907 00:00,21:00:15,000002,23555,1358821215,1669267189,2011-09-07
20110112,20110112 00:00,21:00:11,000300,22215,1358937290,1722927838,2011-01-12
20150415,20150415 00:00,21:00:32,000016,30832,1358974409,1398722061,2015-04-15
20110603,20110603 00:00,21:00:28,000300,22999,1359131952,1666077421,2011-06-03
20140922,20140922 00:00,21:03:15,000300,29709,1359310420,1503745930,2014-09-22
20101213,20101213 00:00,21:00:11,000300,22043,1359389147,1716154390,2010-12-13
20130326,20130326 00:00,21:01:52,000002,26701,1359481610,1608735407,2013-03-26
20101214,20101214 00:00,21:00:08,000300,22051,1359486799,1716206499,2010-12-14
20131112,20131112 00:00,21:00:15,000002,27957,1359550755,1502755250,2013-11-12
20140902,20140902 00:00,21:01:34,000300,29601,1359589356,1508784128,2014-09-02
20120509,20120509 00:00,21:00:05,000001,24897,1359595062,1655326176,2012-05-09
20120308,20120308 00:00,21:00:07,000001,24565,1359618422,1659590240,2012-03-08
20140707,20140707 00:00,21:00:37,000001,29267,1359654709,1509522982,2014-07-07
20120425,20120425 00:00,21:00:12,000001,24825,1359751301,1651296751,2012-04-25
20110809,20110809 00:00,21:00:14,000001,23377,1359769911,1675618354,2011-08-09
20130114,20130114 00:00,21:03:17,000002,26313,1359824865,1614914575,2013-01-14
20140213,20140213 00:00,21:00:48,000001,28467,1359841506,1518453362,2014-02-13
20120510,20120510 00:00,21:00:06,000001,24905,1359997947,1656592646,2012-05-10
20110808,20110808 00:00,21:00:34,000001,23369,1360016562,1675641866,2011-08-08
20110107,20110107 00:00,21:00:12,000300,22191,1360016637,1731663826,2011-01-07
20130517,20130517 00:00,21:00:24,000002,26985,1360175355,1600250473,2013-05-17
20131107,20131107 00:00,21:00:38,000002,27933,1360223587,1504339876,2013-11-07
20140703,20140703 00:00,21:00:06,000001,29251,1360245704,1511042100,2014-07-03
20140718,20140718 00:00,21:00:15,000001,29339,1360296522,1508560124,2014-07-18
20170825,20170825 00:00,21:00:19,000016,35632,1360348977,1428578789,2017-08-25
20140715,20140715 00:00,21:00:51,000002,29317,1360358017,1510048755,2014-07-15
20120312,20120312 00:00,21:00:10,000002,24583,1360510840,1669604348,2012-03-12
20171020,20171020 00:00,21:00:16,000016,35932,1360821215,1428952607,2017-10-20
20110728,20110728 00:00,21:00:43,000300,23319,1360882898,1680574306,2011-07-28
20110201,20110201 00:00,21:00:12,000300,22327,1360990903,1709329982,2011-02-01
20140102,20140102 00:00,21:00:38,000001,28247,1361190399,1508636236,2014-01-02
20130312,20130312 00:00,21:01:43,000001,26619,1361265338,1608396071,2013-03-12
20111110,20111110 00:00,21:00:20,000001,23905,1361489395,1672018932,2011-11-10
20130208,20130208 00:00,21:01:33,000300,26469,1361517311,1627939490,2013-02-08
20171025,20171025 00:00,21:00:13,000016,35956,1361537039,1429960848,2017-10-25
20150611,20150611 00:00,21:00:21,399107,31152,1361635857,1707430345,2015-06-11
20170830,20170830 00:00,21:00:14,000016,35656,1361769498,1432540377,2017-08-30
20130122,20130122 00:00,21:01:43,000002,26361,1361789318,1617142534,2013-01-22
20130222,20130222 00:00,21:01:57,000002,26525,1361930560,1619463634,2013-02-22
20110614,20110614 00:00,21:00:12,000300,23051,1362148502,1668109850,2011-06-14
20140708,20140708 00:00,21:00:15,000001,29275,1362342737,1512539201,2014-07-08
20130327,20130327 00:00,21:04:45,000002,26709,1362366552,1611360659,2013-03-27
20111111,20111111 00:00,21:00:28,000001,23913,1362424991,1673124495,2011-11-11
20130206,20130206 00:00,21:30:17,000300,26453,1362439916,1630094142,2013-02-06
20140211,20140211 00:00,21:00:59,000001,28451,1362481766,1520939175,2014-02-11
20130118,20130118 00:00,21:00:12,000002,26345,1362544050,1618638546,2013-01-18
20131219,20131219 00:00,21:00:08,000002,28173,1362619385,1513219927,2013-12-19
20110822,20110822 00:00,21:00:04,000001,23449,1362632404,1675833899,2011-08-22
20130124,20130124 00:00,21:00:07,000001,26375,1362712079,1616952153,2013-01-24
20130605,20130605 00:00,21:00:49,000001,27087,1362789547,1602903479,2013-06-05
20130906,20130906 00:00,21:00:13,000001,27611,1362839907,1517579497,2013-09-06
20140617,20140617 00:00,21:00:18,000001,29155,1362892606,1508144457,2014-06-17
20140214,20140214 00:00,21:01:40,000002,28477,1362941929,1524256219,2014-02-14
20150626,20150626 00:00,21:02:10,000016,31240,1363073856,1421788273,2015-06-26
20130205,20130205 00:00,21:01:54,000300,26445,1363226714,1630354830,2013-02-05
