,客户风险能力类型,新老客户种类,性别,存款比例,基金1比例,基金2比例,基金3比例
0.00000000 ,C2稳健型(25-40),增1老客户,女,0.05200000 ,0.00781214 ,0.05676954 ,0.88341832 
0.00000000 ,C2稳健型(25-40),增1老客户,女,0.05200000 ,0.00000017 ,0.25894018 ,0.68905965 
0.00000000 ,C2稳健型(25-40),增1老客户,女,0.05200000 ,0.00000000 ,0.56632928 ,0.38167072 
0.00000000 ,C2稳健型(25-40),增1老客户,女,0.05200000 ,0.04328014 ,0.00439367 ,0.90032618 
0.00000000 ,C2稳健型(25-40),增1老客户,女,0.05200000 ,0.00000000 ,0.00000000 ,0.94800000 
0.00000000 ,C2稳健型(25-40),增2老客户,男,0.04700000 ,0.11910000 ,0.66710000 ,0.16680000 
0.00000000 ,C2稳健型(25-40),增2老客户,男,0.04700000 ,0.06522688 ,0.88777311 ,0.00000000 
0.00000000 ,C2稳健型(25-40),增2老客户,男,0.04700000 ,0.43161564 ,0.17808963 ,0.34329473 
0.00000000 ,C2稳健型(25-40),增2老客户,男,0.04700000 ,0.23055521 ,0.00000000 ,0.72244479 
0.00000000 ,C2稳健型(25-40),增2老客户,男,0.04700000 ,0.00785334 ,0.05706896 ,0.88807770 
0.00000000 ,C2稳健型(25-40),增2老客户,男,0.04700000 ,0.00000017 ,0.26030590 ,0.69269393 
0.00000000 ,C2稳健型(25-40),增2老客户,男,0.04700000 ,0.00000000 ,0.56931625 ,0.38368375 
0.00000000 ,C2稳健型(25-40),增2老客户,男,0.04700000 ,0.04350841 ,0.00441685 ,0.90507474 
0.00000000 ,C2稳健型(25-40),增2老客户,男,0.04700000 ,0.00000000 ,0.00000000 ,0.95300000 
0.00000000 ,C2稳健型(25-40),增2老客户,女,0.05200000 ,0.11850000 ,0.66360000 ,0.16590000 
0.00000000 ,C2稳健型(25-40),增2老客户,女,0.05200000 ,0.06488466 ,0.88311533 ,0.00000000 
0.00000000 ,C2稳健型(25-40),增2老客户,女,0.05200000 ,0.42935113 ,0.17715527 ,0.34149360 
0.00000000 ,C2稳健型(25-40),增2老客户,女,0.05200000 ,0.22934559 ,0.00000000 ,0.71865441 
0.00000000 ,C2稳健型(25-40),增2老客户,女,0.05200000 ,0.00781214 ,0.05676954 ,0.88341832 
0.00000000 ,C2稳健型(25-40),增2老客户,女,0.05200000 ,0.00000017 ,0.25894018 ,0.68905965 
0.00000000 ,C2稳健型(25-40),增2老客户,女,0.05200000 ,0.00000000 ,0.56632928 ,0.38167072 
0.00000000 ,C2稳健型(25-40),增2老客户,女,0.05200000 ,0.04328014 ,0.00439367 ,0.90032618 
0.00000000 ,C2稳健型(25-40),增2老客户,女,0.05200000 ,0.00000000 ,0.00000000 ,0.94800000 
0.00000000 ,C1保守型(0-25),新客户,男,0.28000000 ,0.18900000 ,0.24300000 ,0.28800000 
0.00000000 ,C1保守型(0-25),新客户,男,0.28000000 ,0.04927949 ,0.67072050 ,0.00000000 
0.00000000 ,C1保守型(0-25),新客户,男,0.28000000 ,0.32608947 ,0.13454830 ,0.25936223 
0.00000000 ,C1保守型(0-25),新客户,男,0.28000000 ,0.17418652 ,0.00000000 ,0.54581348 
0.00000000 ,C1保守型(0-25),新客户,男,0.28000000 ,0.00593327 ,0.04311611 ,0.67095062 
0.00000000 ,C1保守型(0-25),新客户,男,0.28000000 ,0.00000013 ,0.19666343 ,0.52333644 
0.00000000 ,C1保守型(0-25),新客户,男,0.28000000 ,0.00000000 ,0.43012350 ,0.28987650 
0.00000000 ,C1保守型(0-25),新客户,男,0.28000000 ,0.03287099 ,0.00333697 ,0.68379204 
0.00000000 ,C1保守型(0-25),新客户,男,0.28000000 ,0.00000000 ,0.00000000 ,0.72000000 
0.00000000 ,C1保守型(0-25),新客户,女,0.29000000 ,0.18640000 ,0.23960000 ,0.28400000 
0.00000000 ,C1保守型(0-25),新客户,女,0.29000000 ,0.04859505 ,0.66140494 ,0.00000000 
0.00000000 ,C1保守型(0-25),新客户,女,0.29000000 ,0.32156045 ,0.13267958 ,0.25575997 
0.00000000 ,C1保守型(0-25),新客户,女,0.29000000 ,0.17176726 ,0.00000000 ,0.53823274 
0.00000000 ,C1保守型(0-25),新客户,女,0.29000000 ,0.00585086 ,0.04251727 ,0.66163186 
0.00000000 ,C1保守型(0-25),新客户,女,0.29000000 ,0.00000013 ,0.19393199 ,0.51606788 
0.00000000 ,C1保守型(0-25),新客户,女,0.29000000 ,0.00000000 ,0.42414956 ,0.28585044 
0.00000000 ,C1保守型(0-25),新客户,女,0.29000000 ,0.03241445 ,0.00329062 ,0.67429493 
0.00000000 ,C1保守型(0-25),新客户,女,0.29000000 ,0.00000000 ,0.00000000 ,0.71000000 
0.00000000 ,C1保守型(0-25),增1老客户,男,0.05000000 ,0.66500000 ,0.11880000 ,0.16630000 
0.00000000 ,C1保守型(0-25),增1老客户,男,0.05000000 ,0.06502155 ,0.88497844 ,0.00000000 
0.00000000 ,C1保守型(0-25),增1老客户,男,0.05000000 ,0.43025694 ,0.17752901 ,0.34221405 
0.00000000 ,C1保守型(0-25),增1老客户,男,0.05000000 ,0.22982944 ,0.00000000 ,0.72017056 
0.00000000 ,C1保守型(0-25),增1老客户,男,0.05000000 ,0.00782862 ,0.05688931 ,0.88528207 
0.00000000 ,C1保守型(0-25),增1老客户,男,0.05000000 ,0.00000017 ,0.25948647 ,0.69051336 
0.00000000 ,C1保守型(0-25),增1老客户,男,0.05000000 ,0.00000000 ,0.56752406 ,0.38247594 
0.00000000 ,C1保守型(0-25),增1老客户,男,0.05000000 ,0.04337145 ,0.00440294 ,0.90222561 
0.00000000 ,C1保守型(0-25),增1老客户,男,0.05000000 ,0.00000000 ,0.00000000 ,0.95000000 
