,kmrd_std_total,kmrd_year_rate,kmrd_maxdown,nofee_kmrd_std_total,nofee_kmrd_year_rate,nofee_kmrd_maxdown,betago_std_total,betago_year_rate,betago_maxdown,nofee_betago_std_total,nofee_betago_year_rate,nofee_betago_maxdown,sz_std_total,sz_year_rate,sz_maxdown,nofee_sz_std_total,nofee_sz_year_rate,nofee_sz_maxdown
83,0.045371789,0.089371604,0.016803223,0.044264194,0.103730824,0.016723365,0.037657063,0.084139172,0.016970415,0.036407551,0.098499828,0.016890439,0.050553323,0.238738639,0.016309325,0.049446836,0.252381262,0.016236385
84,0.028860232,0.038294427,0.011524009,0.027405038,0.052655082,0.011469246,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
85,0.040798232,0.086872372,0.016303055,0.039613943,0.101233028,0.01622579,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.050553323,0.238738639,0.016309325,0.049446836,0.252381262,0.016236385
86,0.028860232,0.038294427,0.011524009,0.027405038,0.052655082,0.011469246,0.000571523,0.029966301,0,0.000571523,0.029966301,0,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
87,0.040798232,0.086872372,0.016303055,0.039613943,0.101233028,0.01622579,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.050553323,0.238738639,0.016309325,0.049446836,0.252381262,0.016236385
88,0.040798232,0.086872372,0.016303055,0.039613943,0.101233028,0.01622579,0.000571523,0.029966301,0,0.000571523,0.029966301,0,0.050553323,0.238738639,0.016309325,0.049446836,0.252381262,0.016236385
89,0.040798232,0.086872372,0.016303055,0.039613943,0.101233028,0.01622579,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.050553323,0.238738639,0.016309325,0.049446836,0.252381262,0.016236385
90,0.028860232,0.038294427,0.011524009,0.027405038,0.052655082,0.011469246,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
91,0.028860232,0.038294427,0.011524009,0.027405038,0.052655082,0.011469246,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
92,0.040798232,0.086872372,0.016303055,0.039613943,0.101233028,0.01622579,0.037657063,0.084139172,0.016970415,0.036407551,0.098499828,0.016890439,0.050553323,0.238738639,0.016309325,0.049446836,0.252381262,0.016236385
93,0.060613916,0.173011978,0.024324814,0.05958525,0.187372634,0.024210201,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.052385977,0.250184896,0.019278438,0.051291741,0.263827519,0.019192162
94,0.040798232,0.086872372,0.016303055,0.039613943,0.101233028,0.01622579,0.037657063,0.084139172,0.016970415,0.036407551,0.098499828,0.016890439,0.050553323,0.238738639,0.016309325,0.049446836,0.252381262,0.016236385
95,0.000155073,0.024375403,0,0.000155073,0.024375403,0,0.000571523,0.029966301,0,0.000571523,0.029966301,0,0.028749472,0.109864455,0.006407784,0.028093673,0.118480849,0.006389391
96,0.032052748,0.040110433,0.01191289,0.030715252,0.054471089,0.011856163,0.034309646,0.055864894,0.014396533,0.033015664,0.070225549,0.014328507,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
97,0.045370907,0.089372712,0.016802226,0.044263297,0.103731932,0.016722373,0.037657063,0.084139172,0.016970415,0.036407551,0.098499828,0.016890439,0.050553323,0.238738639,0.016309325,0.049446836,0.252381262,0.016236385
98,0.045373559,0.089369387,0.016805217,0.044265994,0.103728607,0.01672535,0.037657063,0.084139172,0.016970415,0.036407551,0.098499828,0.016890439,0.050553323,0.238738639,0.016309325,0.049446836,0.252381262,0.016236385
99,0.03206584,0.040183041,0.011914658,0.030728651,0.054543697,0.011857922,0.000571523,0.029966301,0,0.000571523,0.029966301,0,0.056917894,0.202978352,0.01393559,0.0560723,0.215184909,0.01387961
